rank,url,ads,status_code
4011,https://tue.nl,TRUE,200
4012,https://kennasecurity.com,TRUE,200
4025,https://startribune.com,TRUE,200
4027,https://harpersbazaar.com,TRUE,200
4028,https://shopee.co.th,TRUE,200
4030,https://smallpdf.com,TRUE,200
4032,https://mainichi.jp,TRUE,200
4036,https://mojohost.com,TRUE,200
4037,https://ebay.com.au,TRUE,200
4046,https://chosun.com,TRUE,200
4062,https://aviasales.com,TRUE,200
4065,https://web.app,TRUE,200
4071,https://hover.com,TRUE,200
4077,https://index.hu,TRUE,200
4084,https://iq.com,TRUE,200
4087,https://self.com,TRUE,200
4095,https://metlife.com,TRUE,200
4104,https://reference.com,TRUE,200
4105,https://zalo.me,TRUE,200
4118,https://utdallas.edu,TRUE,200
4127,https://onefootball.com,TRUE,200
4132,https://techrepublic.com,TRUE,200
4151,https://20minutes.fr,TRUE,200
4158,https://c6gj-static.net,TRUE,200
4168,https://buzzfeednews.com,TRUE,200
4169,https://adfox.ru,TRUE,200
4172,https://riskified.com,TRUE,200
4209,https://aaa.com,TRUE,200
4223,https://prtimes.jp,TRUE,200
4241,https://ahagamecenter.com,TRUE,200
4246,https://openweathermap.org,TRUE,200
4267,https://survicate.com,TRUE,200
4279,https://pantip.com,TRUE,200
4286,https://sina.cn,TRUE,200
4298,https://popsugar.com,TRUE,200
4302,https://r01.ru,TRUE,200
4350,https://lastampa.it,TRUE,200
4355,https://tnaflix.com,TRUE,200
4365,https://gq.com,TRUE,200
4373,https://radiofrance.fr,TRUE,200
4378,https://panorama9.com,TRUE,200
4385,https://freep.com,TRUE,200
4386,https://ama-assn.org,TRUE,200
4396,https://mariadb.org,TRUE,200
4409,https://todoist.com,TRUE,200
4411,https://insurads.com,TRUE,200
4436,https://searchenginejournal.com,TRUE,200
4437,https://dazn.com,TRUE,200
4450,https://yieldlab.net,TRUE,200
4457,https://cdn4image.com,TRUE,200
4460,https://ebay.ca,TRUE,200
4469,https://skyscanner.net,TRUE,200
4482,https://appnext.com,TRUE,200
4489,https://kompas.com,TRUE,200
4518,https://ajax.systems,TRUE,200
4526,https://intelbras.com.br,TRUE,200
4535,https://feednews.com,TRUE,200
4541,https://europapress.es,TRUE,200
4548,https://salesforce-sites.com,TRUE,200
4569,https://nd.edu,TRUE,200
4571,https://rit.edu,TRUE,200
4590,https://uic.edu,TRUE,200
4612,https://knowyourmeme.com,TRUE,200
4643,https://easports.com,TRUE,200
4650,https://youdao.com,TRUE,200
4657,https://benzinga.com,TRUE,200
4669,https://eater.com,TRUE,200
4698,https://yandex.by,TRUE,200
4700,https://buffalo.edu,TRUE,200
4703,https://hatenablog.com,TRUE,200
4713,https://rapidssl.com,TRUE,200
4715,https://chinaz.com,TRUE,200
4730,https://pushd.com,TRUE,200
4746,https://actionverb.com,TRUE,200
4751,https://cdn.house,TRUE,200
4756,https://turnitin.com,TRUE,200
4757,https://insiderintelligence.com,TRUE,200
4760,https://heroku.com,TRUE,200
4769,https://mlive.com,TRUE,200
4797,https://farpost.ru,TRUE,200
4802,https://formstack.com,TRUE,200
4810,https://prosv.ru,TRUE,200
4818,https://walmart.ca,TRUE,200
4831,https://castbox.fm,TRUE,200
4843,https://bidease.com,TRUE,200
4851,https://wondershare.com,TRUE,200
4853,https://psychcentral.com,TRUE,200
4856,https://cafebazaar.ir,TRUE,200
4862,https://aig.com,TRUE,200
4867,https://economictimes.com,TRUE,200
4870,https://blick.ch,TRUE,200
4871,https://theage.com.au,TRUE,200
4874,https://aptoide.com,TRUE,200
4887,https://drudgereport.com,TRUE,200
4892,https://cbs.com,TRUE,200
4895,https://inquirer.com,TRUE,200
4905,https://zaloapp.com,TRUE,200
4916,https://redis.io,TRUE,200
4927,https://we.tl,TRUE,200
4964,https://serverwatch.com,TRUE,200
4990,https://msdmanuals.com,TRUE,200
4999,https://ebay.fr,TRUE,200
5024,https://yandex.com.tr,TRUE,200
5034,https://thescore.com,TRUE,200
5036,https://sicredi.com.br,TRUE,200
5043,https://novofon.com,TRUE,200
5051,https://zerohedge.com,TRUE,200
5052,https://oregonlive.com,TRUE,200
5056,https://kotaku.com,TRUE,200
5066,https://military.com,TRUE,200
5074,https://corel.com,TRUE,200
5077,https://real.com,TRUE,200
5080,https://tv-asahi.co.jp,TRUE,200
5082,https://wolfram.com,TRUE,200
5087,https://nag.ru,TRUE,200
5101,https://rat.xxx,TRUE,200
5103,https://servicewebly.com,TRUE,200
5104,https://mercadopago.com,TRUE,200
5105,https://excite.co.jp,TRUE,200
5110,https://staples.com,TRUE,200
5122,https://pornhub.org,TRUE,200
5138,https://vulture.com,TRUE,200
5147,https://17track.net,TRUE,200
5153,https://formula1.com,TRUE,200
5155,https://traffmonetizer.com,TRUE,200
5156,https://bancointer.com.br,TRUE,200
5159,https://lesechos.fr,TRUE,200
5162,https://chromium.org,TRUE,200
5165,https://vidverto.io,TRUE,200
5168,https://hola.org,TRUE,200
5170,https://francebleu.fr,TRUE,200
5172,https://ajc.com,TRUE,200
5189,https://bartleby.com,TRUE,200
5202,https://missouri.edu,TRUE,200
5231,https://bluestacks.com,TRUE,200
5250,https://ncl.com,TRUE,200
5255,https://telekom.hu,TRUE,200
5282,https://uconn.edu,TRUE,200
5291,https://magento.cloud,TRUE,200
5300,https://an1.com,TRUE,200
5313,https://enphaseenergy.com,TRUE,200
5318,https://ilex.by,TRUE,200
5324,https://simplisafe.com,TRUE,200
5342,https://amazonsilk.com,TRUE,200
5350,https://manhuascan.com,TRUE,200
5352,https://xoso.mobi,TRUE,200
5359,https://3gpking.name,TRUE,200
5360,https://long.tv,TRUE,200
5363,https://guinnessworldrecords.com,TRUE,200
5366,https://exoclick.com,TRUE,200
5370,https://cntraveler.com,TRUE,200
5388,https://fox.com,TRUE,200
5389,https://ssl.com,TRUE,200
5391,https://tktube.com,TRUE,200
5392,https://zistop.com,TRUE,200
5405,https://thecut.com,TRUE,200
5412,https://sbs.com.au,TRUE,200
5413,https://examiner.com,TRUE,200
5427,https://quip.com,TRUE,200
5428,https://dnsexit.com,TRUE,200
5436,https://mercadopago.com.br,TRUE,200
5442,https://biography.com,TRUE,200
5445,https://biblehub.com,TRUE,200
5447,https://glamour.com,TRUE,200
5449,https://stocrm.ru,TRUE,200
5459,https://al.com,TRUE,200
5460,https://rethinkad.com,TRUE,200
5476,https://sports.ru,TRUE,200
5479,https://now.gg,TRUE,200
5482,https://letras.mus.br,TRUE,200
5483,https://nationalreview.com,TRUE,200
5484,https://aps.org,TRUE,200
5486,https://architecturaldigest.com,TRUE,200
5503,https://petfinder.com,TRUE,200
5506,https://tagged.com,TRUE,200
5543,https://simplecloud.ru,TRUE,200
5566,https://uw.edu,TRUE,200
5584,https://optimumdesk.com,TRUE,200
5585,https://countryliving.com,TRUE,200
5586,https://quicksetcloud.com,TRUE,200
5595,https://weightwatchers.com,TRUE,200
5600,https://spbtv.com,TRUE,200
5607,https://sbnation.com,TRUE,200
5608,https://fmb.la,TRUE,200
5617,https://imagemagick.com,TRUE,200
5649,https://mercadolivre.com,TRUE,200
5657,https://d-net.pro,TRUE,200
5662,https://veeam.com,TRUE,200
5664,https://giga.de,TRUE,200
5665,https://aboutamazon.com,TRUE,200
5668,https://syr.edu,TRUE,200
5678,https://cleveland.com,TRUE,200
5690,https://f-secure.com,TRUE,200
5698,https://se.com,TRUE,200
5708,https://sling.com,TRUE,200
5710,https://hs.fi,TRUE,200
5724,https://newrepublic.com,TRUE,200
5733,https://okezone.com,TRUE,200
5738,https://freelancer.com,TRUE,200
5740,https://meteoblue.com,TRUE,200
5747,https://apachetoday.com,TRUE,200
5754,https://naukri.com,TRUE,200
5760,https://rtlnieuws.nl,TRUE,200
5764,https://ura.news,TRUE,200
5772,https://retailrocket.ru,TRUE,200
5781,https://manualslib.com,TRUE,200
5783,https://sydney.edu.au,TRUE,200
5801,https://nv.ua,TRUE,200
5811,https://pixlr.com,TRUE,200
5813,https://thriftbooks.com,TRUE,200
5814,https://mehrnews.com,TRUE,200
5823,https://august.com,TRUE,200
5828,https://dji.com,TRUE,200
5829,https://deepai.org,TRUE,200
5834,https://cio.com,TRUE,200
5839,https://estadao.com.br,TRUE,200
5842,https://tampabay.com,TRUE,200
5848,https://wbur.org,TRUE,200
5856,https://irna.ir,TRUE,200
5858,https://emerald.com,TRUE,200
5862,https://chefkoch.de,TRUE,200
5877,https://ntp.br,TRUE,200
5879,https://eurogamer.net,TRUE,200
5883,https://b92.net,TRUE,200
5884,https://semana.com,TRUE,200
5890,https://wyndhamhotels.com,TRUE,200
5901,https://artnet.com,TRUE,200
5920,https://delish.com,TRUE,200
5921,https://dailydot.com,TRUE,200
5935,https://bidvol.com,TRUE,200
5937,https://yd6n63ptky.com,TRUE,200
5938,https://game8.co,TRUE,200
5948,https://sniffies.com,TRUE,200
5949,https://ecwid.com,TRUE,200
5950,https://placed.com,TRUE,200
5954,https://athenahealth.com,TRUE,200
5978,https://bambuser.com,TRUE,200
5981,https://mgtv.com,TRUE,200
5985,https://kucoin.com,TRUE,200
6000,https://wynk.in,TRUE,200
6001,https://3ds.com,TRUE,200
6005,https://sharefile.com,TRUE,200
6009,https://gamebanana.com,TRUE,200
6012,https://kinoafisha.info,TRUE,200
6013,https://seagate.com,TRUE,200
6020,https://shopee.sg,TRUE,200
6026,https://andbeyond.media,TRUE,200
6033,https://thenationalnews.com,TRUE,200
6039,https://jooble.org,TRUE,200
6041,https://asda.com,TRUE,200
6047,https://jugem.jp,TRUE,200
6053,https://tuoitre.vn,TRUE,200
6055,https://catawiki.com,TRUE,200
6059,https://theaustralian.com.au,TRUE,200
6062,https://sleepnumber.com,TRUE,200
6072,https://cgtn.com,TRUE,200
6073,https://ceneo.pl,TRUE,200
6075,https://flippingbook.com,TRUE,200
6079,https://ngrok.io,TRUE,200
6104,https://is.fi,TRUE,200
6109,https://canvaslms.com,TRUE,200
6112,https://pitchfork.com,TRUE,200
6114,https://skyscrapercity.com,TRUE,200
6115,https://boursorama.com,TRUE,200
6116,https://complex.com,TRUE,200
6120,https://technorati.com,TRUE,200
6131,https://idc.com,TRUE,200
6133,https://chipotle.com,TRUE,200
6137,https://futbol24.com,TRUE,200
6138,https://gocomics.com,TRUE,200
6141,https://nur.kz,TRUE,200
6146,https://dailystar.co.uk,TRUE,200
6148,https://megagroup.ru,TRUE,200
6149,https://salesforce-scrt.com,TRUE,200
6152,https://tube8.com,TRUE,200
6166,https://365scores.com,TRUE,200
6182,https://cricketwireless.com,TRUE,200
6185,https://123rf.com,TRUE,200
6203,https://telecinco.es,TRUE,200
6205,https://host-food.ru,TRUE,200
6217,https://icims.com,TRUE,200
6222,https://netapp.com,TRUE,200
6223,https://newsnow.co.uk,TRUE,200
6228,https://atptour.com,TRUE,200
6235,https://ilgiornale.it,TRUE,200
6237,https://vidyard.com,TRUE,200
6241,https://zdbb.net,TRUE,200
6247,https://sitehost.co.nz,TRUE,200
6248,https://datemyage.com,TRUE,200
6253,https://solitaired.com,TRUE,200
6258,https://warframe.com,TRUE,200
6259,https://hk01.com,TRUE,200
6262,https://platinumai.net,TRUE,200
6267,https://meinbezirk.at,TRUE,200
6268,https://lidl.de,TRUE,200
6271,https://iqm.com,TRUE,200
6272,https://dailyrecord.co.uk,TRUE,200
6273,https://mydramalist.com,TRUE,200
6274,https://attconsumer.biz,TRUE,200
6285,https://kmv.ru,TRUE,200
6292,https://sozcu.com.tr,TRUE,200
6295,https://softwareadvice.com,TRUE,200
6301,https://mercadolibre.com.co,TRUE,200
6306,https://rpi.edu,TRUE,200
6307,https://exblog.jp,TRUE,200
6315,https://zbporn.com,TRUE,200
6318,https://jsonline.com,TRUE,200
6324,https://datatables.net,TRUE,200
6325,https://ambito.com,TRUE,200
6331,https://covers.com,TRUE,200
6332,https://isna.ir,TRUE,200
6334,https://blocket.se,TRUE,200
6342,https://zakon.kz,TRUE,200
6344,https://nzz.ch,TRUE,200
6352,https://afr.com,TRUE,200
6357,https://navyfederal.org,TRUE,200
6366,https://snapp.ir,TRUE,200
6372,https://zedge.net,TRUE,200
6386,https://cifraclub.com.br,TRUE,200
6405,https://csod.com,TRUE,200
6413,https://hsbc.com,TRUE,200
6420,https://catchthemes.com,TRUE,200
6421,https://audacy.com,TRUE,200
6432,https://doxygen.nl,TRUE,200
6439,https://empik.com,TRUE,200
6443,https://journaldemontreal.com,TRUE,200
6450,https://williamhill.com,TRUE,200
6452,https://frontapp.com,TRUE,200
6454,https://immowelt.de,TRUE,200
6456,https://rtvslo.si,TRUE,200
6459,https://basalam.com,TRUE,200
6460,https://qiita.com,TRUE,200
6468,https://getresponse.com,TRUE,200
6469,https://mercadolibre.cl,TRUE,200
6473,https://asm.org,TRUE,200
6474,https://dhnet.be,TRUE,200
6489,https://usertesting.com,TRUE,200
6491,https://reverb.com,TRUE,200
6495,https://thanhnien.vn,TRUE,200
6497,https://active24.cz,TRUE,200
6502,https://centurygame.com,TRUE,200
6512,https://fitgirl-repacks.site,TRUE,200
6515,https://allabout.co.jp,TRUE,200
6517,https://tutsplus.com,TRUE,200
6524,https://footballi.net,TRUE,200
6531,https://webland.ch,TRUE,200
6533,https://daraz.com.bd,TRUE,200
6538,https://marvel.com,TRUE,200
6541,https://gcash.com,TRUE,200
6544,https://yg5sjx5kzy.com,TRUE,200
6546,https://univision.com,TRUE,200
6550,https://qunar.com,TRUE,200
6553,https://inverse.com,TRUE,200
6557,https://radio-canada.ca,TRUE,200
6558,https://natalie.mu,TRUE,200
6559,https://above.com,TRUE,200
6568,https://nab.com.au,TRUE,200
6573,https://wordstream.com,TRUE,200
6579,https://javatpoint.com,TRUE,200
6580,https://cian.ru,TRUE,200
6587,https://imptracking.com,TRUE,200
6601,https://detroitnews.com,TRUE,200
6602,https://ricoh.com,TRUE,200
6607,https://thisisdax.com,TRUE,200
6609,https://ledauphine.com,TRUE,200
6611,https://olark.com,TRUE,200
6614,https://babycenter.com,TRUE,200
6620,https://hani.co.kr,TRUE,200
6622,https://resetera.com,TRUE,200
6623,https://ifixit.com,TRUE,200
6624,https://namefind.com,TRUE,200
6629,https://audioeye.com,TRUE,200
6632,https://mercadopago.com.ar,TRUE,200
6633,https://proxysite.com,TRUE,200
6636,https://authorize.net,TRUE,200
6642,https://goldenfrog.com,TRUE,200
6648,https://muni.cz,TRUE,200
6651,https://basketball-reference.com,TRUE,200
6652,https://wish.com,TRUE,200
6654,https://ccleaner.com,TRUE,200
6658,https://nrich.ai,TRUE,200
6659,https://humblebundle.com,TRUE,200
6660,https://videa.hu,TRUE,200
6661,https://freecodecamp.org,TRUE,200
6665,https://runescape.wiki,TRUE,200
6670,https://hkjc.com,TRUE,200
6672,https://24tv.ua,TRUE,200
6674,https://thrillist.com,TRUE,200
6675,https://pima.edu,TRUE,200
6677,https://geetest.com,TRUE,200
6678,https://versus.com,TRUE,200
6681,https://5ch.net,TRUE,200
6687,https://symphony.com,TRUE,200
6691,https://midilibre.fr,TRUE,200
6703,https://sbb.rs,TRUE,200
6709,https://relap.io,TRUE,200
6716,https://vedantu.com,TRUE,200
6718,https://njav.tv,TRUE,200
6719,https://codecanyon.net,TRUE,200
6729,https://underarmour.com,TRUE,200
6757,https://blackrussia.online,TRUE,200
6758,https://leprogres.fr,TRUE,200
6760,https://gmw.cn,TRUE,200
6761,https://picrew.me,TRUE,200
6763,https://skynewsarabia.com,TRUE,200
6767,https://diamond.jp,TRUE,200
6768,https://vhlcentral.com,TRUE,200
6773,https://pingdom.com,TRUE,200
6777,https://twitcasting.tv,TRUE,200
6779,https://ensonhaber.com,TRUE,200
6781,https://sport-express.ru,TRUE,200
6784,https://aweber.com,TRUE,200
6790,https://unodc.org,TRUE,200
6795,https://steelseries.com,TRUE,200
6797,https://townnews.com,TRUE,200
6798,https://jagran.com,TRUE,200
6800,https://podtrac.com,TRUE,200